Core Word,Long Tail,Source,Popularity,Difficulty,Our Ranking,Apps in Ranking,Note
papillas,papillas 6 meses,natural-query pattern es 'X + idade',5,5,1000,1,precisa entrar em campo: 6+meses
recetas,recetas blw,extract_competitors_keywords 'papillas' es (combo blw pop47),5,11,10,34,composição livre (todos os tokens já em campo)
recetas,baby food recipes,stage-1 competitor SERP n-gram (candidate_terms tsv) es — BLW Meals subtitle,5,7,45,164,precisa entrar em campo: food+recipes
recetas,recetas bebé blw,stage-1 competitor SERP n-gram (candidate_terms tsv) es — Dalo Solids name,5,9,8,22,composição livre (todos os tokens já em campo)
recetas,recetas para bebe,stage-1 competitor SERP n-gram (candidate_terms tsv) es — BLW Ideas name,5,17,1000,15,precisa entrar em campo: bebe
recetas,recetas para bebés,stage-1 competitor SERP n-gram (candidate_terms tsv) es — variante natural,5,8,1000,7,precisa entrar em campo: bebés
recetas,blw recetas,natural-query pattern es ordem alternativa,5,11,10,33,composição livre (todos os tokens já em campo)
solids,solid starts baby first foods,Astro get_keyword_suggestions app 6758321287 es,9,9,29,95,precisa entrar em campo: first+foods
solids,solid starts,Astro get_keyword_suggestions app 6758321287 es,33,13,40,120,composição livre (todos os tokens já em campo)
solids,solid start,Astro get_keyword_suggestions app 6758321287 es,8,7,27,110,precisa entrar em campo: start
sólidos,sólidos bebé,stage-1 competitor SERP n-gram (candidate_terms tsv) es — Sólidos Bebé name,5,23,14,48,composição livre (todos os tokens já em campo)
sólidos,primeros sólidos,natural-query pattern es 'primeros X',5,8,1000,7,precisa entrar em campo: primeros
sólidos,introducción de sólidos,natural-query pattern es 'introducción de X',5,5,1000,,precisa entrar em campo: introducción
weaning,baby led weaning app,Astro get_keyword_suggestions app 6758321287 es,7,7,15,107,precisa entrar em campo: app
weaning,baby weaning,Astro get_keyword_suggestions app 6758321287 es,25,7,18,212,composição livre (todos os tokens já em campo)
